,user_name,teks
48,Anana73322693,"@pengarang_sajak Dem lah Mang, mereka tuh lagi diatas angin galo2, banyk yg belain, kalopun Arema rusuh pasti dibalikin pake kalimat, kalaupun rusuh apa pantas kami dibunuh dengan gas air mata?"
49,odial99,"@yanpermana13 @masaffan_ @dani_rckls @VIVAcoid @aremania Kalo bisa oknum2 yg rusuh tsb dicari lalu dihukum, polisinya juga sama harus dihukum baik yg dilapangan atau yg ngasih intruksi nembak gas air mata"
50,okkyjune13,"@KenROK20 @disfodan @manggalakurnia Jd mksdmu klo suporter fanatik,mukul dan rusuh ok ok aja ?
Aq pun gk bela pihak manapun, tp penyebab ratusan meninggal memang bner ""GAS AIR MATA"" polisi memng salah nembak ke tribun.
Tp jgn di abaikan jg awal tragedi gmn, ntn dong video part 1 n 2 nya"
51,odial99,"@yanpermana13 @masaffan_ @dani_rckls @VIVAcoid @aremania Lah gak usah melebar kemana2 bro, ini saya cuma ngomong sebab akibat saja, andaikan suporter nggak turun nggak rusuh damai aman semua masa aparat langsung nembak gas air mata, kan saya jg bilang kalo penanganan aparat juga salah, gak ada saya bela salah satu pihak"
52,cloudvanguard1,@KoplakID4 @Alva1588 @sofiesyarief @prastow @jokowi Klo yg nyuruh penembakan gas air mata d seret ke pengadilan.. apakah aremania siap juga menyeret supporternya yg berbuat rusuh melakukan pemukulan thp pemain?
53,Al_vvb,"RT @Amin_Hammers: perlu digaris bawahi, korban kebanyakan terkena gas air mata dari polis dan berdesak-desakan menuju pintu keluar stadion,…"
54,Sjaechu,"RT @smq9112001: @jokowi kalo Tribun tidak ditembaki dengan gas air mata, secara yg rusuh di lapangan. Anak wanita tidak jadi korban sia2, y…"
55,Agus_Solikhin_D,RT @rumahrakyat77: Sedunia tau kalau sebab utamanya byk yg meninggal  yaitu Krn adanya tembakan gas air mata ke tribun yg notabenenya ditri…
56,apaaja_bol3h,@sarwanvanjava @EvansDW_69 @indosupporter Ini yg ditribun ga rusuh kenapa mereka ditembak gas air mata? https://t.co/2gl3ayCYHJ
57,crushpsycho,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
58,Skipvtn,"@mhazzrzky @hirzanando @frandiasta @mk_anam @registaco jangan smpe kbencianmu membuatmu berbuat tidal adil
oke kita sepakat bahwa polisi sangat salah dalam menggunakan gas air mata dan harus diadili
tp kita juga harus menerima bahwa sebagian Aremania yg rusuh masuk ke lapangan juga salah, dan sampai sekarang blm keliatan minta maaf"
59,saya_adalah2468,"@AzizyPambudi @korantempo tapi yang bikin meninggal bukan karena adu pukul antara suporter, yang bikin meninggal itu GAS AIR MATA !
lu pikir suporter rusuh itu punya GAS AIR MATA !"
60,Marmaaaarrrr,"@frandiasta @mk_anam @hirzanando @registaco Kalau rusuh turun ke lapangan mau itu digebuk sama polisi di tembak gas air mata bodo amat emang dia sala,  tapi gobloknya ngapain gas air mata ditembakin ke tribun suporter yg gak rusuh turun dilapangan , pihak keamanan salah gegara nembakin gas ke tribun"
61,camartiga,RT @rumahrakyat77: Sedunia tau kalau sebab utamanya byk yg meninggal  yaitu Krn adanya tembakan gas air mata ke tribun yg notabenenya ditri…
62,bmbgst,RT @rumahrakyat77: Sedunia tau kalau sebab utamanya byk yg meninggal  yaitu Krn adanya tembakan gas air mata ke tribun yg notabenenya ditri…
63,lylemaulina,"Ya seandainya memang terpaksa harus nembak gas air mata karna menurut isilop suporter di lapangan bikin rusuh... ya mestinya nembak ke lapangan yaaa, biar pada keluar dan gak masuk lapangan. Koq malah ke tribun ki utekke yo ra masuk."
64,KoeAry,RT @rumahrakyat77: Sedunia tau kalau sebab utamanya byk yg meninggal  yaitu Krn adanya tembakan gas air mata ke tribun yg notabenenya ditri…
65,NKRIndonesia79,RT @rumahrakyat77: Sedunia tau kalau sebab utamanya byk yg meninggal  yaitu Krn adanya tembakan gas air mata ke tribun yg notabenenya ditri…
66,didik_bung,RT @rumahrakyat77: Sedunia tau kalau sebab utamanya byk yg meninggal  yaitu Krn adanya tembakan gas air mata ke tribun yg notabenenya ditri…
67,JohnVaganza,"@agilbielsa @Bayuhk @actfleur @anotherhilmy Ente ngelawak bos? Wkwkw.. emang yg turun ke lapangan semua penonton? Yg rusuh yg turun ke lapangan, yg di tembakin gas air mata yg di tribun.. IQ ente kagak nyampe buat ngeanalogiin kasus beginian, yaa gak heran kalo ente masuk tuh survey 🤣"
68,amri_andria,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
69,ziaulhaq07,"@Metro_TV Jadi kalau besok infrastrukturnya stadion sdh dibenerin, aman dan layak.. aparat boleh kembali nembak gas air mata lg ke tribun kalau ada rusuh lg di tengah lapangan.. oke deh kakak."
70,jurassicphunk,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
71,HendraHanifah,RT @rumahrakyat77: Sedunia tau kalau sebab utamanya byk yg meninggal  yaitu Krn adanya tembakan gas air mata ke tribun yg notabenenya ditri…
72,PejuangRetjeh4,"@keuangannews_id Pak @mohmahfudmd yg di tribun itu diem diem bae gak bikin rusuh ngapain di gas air mata pak . Itu banyak penonton sekeluarga pak . Anak remaja baru gede pak , gimana itu perasaan ibunya pak ."
73,rinteez,RT @rumahrakyat77: Sedunia tau kalau sebab utamanya byk yg meninggal  yaitu Krn adanya tembakan gas air mata ke tribun yg notabenenya ditri…
74,marzuki_dika,dia kira wni ini suka rusuh kali ya?penyebab tragedi kanjuruhan adl gas air mata https://t.co/73iCbDUzhw
75,sukataichannn,@txtdrberseragam anaknya kalo udah gede tau penyebab insiden kanjuruhan juga palingan najis jadi polisi 🙏🏻 ya kita semua tau lah udh banyak video yg kesebar awal kerusuhan orgorg desak2an keluar karna gas air mata bukan karna supporter rusuh ga terima kekalahan.
76,winlesmana,Delta Sidoarjo yang kemarin rusuh saja 0 korban jiwa. Tidak ada yang brengsek nembakin gas air mata. https://t.co/1c1y2qqmwx
77,enricopelenkahu,"@indosupporter pertanyaan ini yg belum ke jawab2 : "" kalopun masalahnya penonton yg turun ke lapangan, kenapa banyak tembakan gas air mata justru ke tribun supporter? bahkan tribun yg gak rusuh?, bukannya ini yg jadi penyebab utama banyaknya korban jiwa ?"""
78,apiseuneu,"Bukan menormalisasi kerusuhan dsb, tetap aja salah. Tapi baru kali ini juga keamananya pake gas air mata. Pun itu diarahkan berikut ke tribun yg jelas2 manusia disana adalah yang tidak rusuh."
79,zenondown,"@Suhik2299 @PSSI @Liga1Match Bego banget sih lo 
Membela boleh tp otak di pakai. 
Suporter turun ke lapangan aja udah salah , Polisi menembakan gas air mata kan gara2 suporter rusuh , klo ga rusuh ga mungkin polisi menembakan gas air mata.
Coba suporter mengakui kesalahanya juga.
Polisi Sdh bnyk yg di pecat."
80,selalunyampah,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
81,LukeSusilo,"@CNNIndonesia bela diri dari apa sih sampe ke tribun2 segala nembaknya? jelas2 wong sudah menang kok dri yg katanya suporter rusuh, kurang puas dengan gebukin orang sampe pen siksa dengan gas air mata juga?
https://t.co/kg0ARIS9Ji"
82,ayiekkresna,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
83,Abdurochman007,"RT @Gladislagiwoy: Yg bertanding Arema FC
Yg klh Arema FC
Yg nonton Aremania
Yg turun kelapangan Aremania
Yg rusuh Aremania
Yg pukul pemain…"
84,nooo01cares,"RT @Amin_Hammers: perlu digaris bawahi, korban kebanyakan terkena gas air mata dari polis dan berdesak-desakan menuju pintu keluar stadion,…"
85,FajrilDani,@Entusdyesus @BasMardiana @pandji Sebelumnya bonek rusuh di stadion Deltras Sidoarjo nggak ada satu lalat pun yg mati krn nggak ditembak gas air mata
86,rumahrakyat77,"Sedunia tau kalau sebab utamanya byk yg meninggal  yaitu Krn adanya tembakan gas air mata ke tribun yg notabenenya ditribun TDK ada aksi kerusuhan,begitupun di tengah lapangan notabenenya jga bukan rusuh,tapi aparatlah yg memahaminya negatif... https://t.co/2kB13Fp65Z"
87,okkyjune13,"@disfodan @manggalakurnia Dri awal memang bner salah suporter, apalg ada si pemicu satu itu udh mukul+yg laen jd ikut2an msuk, n akhirnya rusuh.
Jdny polisi nembak gas air mata, salahnya polisi nembak ke tribun.
Smpe akhirnya yg gk ikutan rusuh kena.
Perusuh d lap, bkn tribun."
88,kipotua,"Mksde Pak Jokowi iki Wes bener rek, kabeh stadion bakale ditinjau ulang, akses lan pintu bakal digawe amba tur ngablak. Dadi yen rusuh maneh, polisi panggah oleh nembak gas air mata. Bah arep njungkel nggulung koming keidak idak, pokoke gas air mata panggah diloske!! https://t.co/pui1gg30g2"
89,DayuRohman,@indosupporter Yang rusuh di dalam stadion. Yang di tembak gas air mata di tribun. WHY ????
90,KangTebe3,"@BosPurwa Ada yg turun lapangan bukan mau rusuh, mau peluk pemain.....ga bicarakan gas air mata pak?"
91,jazuli_a15,"@ardisasongko_ @indosupporter Tindakan aparat berarti bener??bubarin pake gas air mata,yg rusuh di lapangan nembaknya ke tribun,bener??aparat bawa senjata,pentungan,tameng, anjing K9..gak bisa y pake itu aja 😁"
92,chresnas_putra,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
93,setiamega17,@rhicocacoIa @zoelfick Dua duanya salah. Suporter salah Krn rusuh. Ad yg ketangkep kamera nimpuk pemain juga tuh 😆. Polisi juga salah pake gas air mata. LIB juga salah knp GK di ACC main sore
94,yakiniku_ale,"@NKRI_jokowisyoo Uhuk...🙈😔
Rusuh tanpa gas air mata, tanpa korban jiwa https://t.co/8i1mnLmAwM"
95,Ferdian19941190,"@ardisasongko_ @indosupporter Gas air mata juga salah, di luar negeri sering  rusuh tapi punya standar pengamanan nya"
96,risdyyyy,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
97,mrpedestrian19,"Anggaplah perusuh itu yg turun ke lapangan dan memprovokasi bbrapa lainnya, tapi kan yg jadi masalah polisi nembakin gas air mata ke arah tribun yang justru gak ikutan rusuh. Disitu titiknya, justru itu yang bikin 130an nyawa melayang. Kekkk ngentottt emang tukang jilat bool ini!"
98,AD1T_RG,"Final piala perserikatan PSMS vs Persib di GBK  penonton masuk ke dlm lapangan tp tdk ada rusuh apalagi korban meninggal, bgt juga saat persija di kalahkan Arema di GBK penonton tumplek turun ke dlm lapangan tdk ada rusuh dan gas air mata. https://t.co/8zMQEYxh9W"
99,JohnMarcoJohn_,"Tdk akan ada gas air mata kalau supporter nya teratur, habis pertandingan selesai pulang dg baik menerima kekalahan dg lapang dada n jiwa besar
Bukan malah kalah lgsg ngamok serbu turun lapangan, rusuh, anarkis hadeuh 🤦🏻‍♀️
Belajarlah mjd supporter yg bijak n dewasa jgn suka rusuh https://t.co/IbgCu0Teng"
100,g4kta,"@PAkmalsapriant Kan saya bilang, keselamatan nyawa krna ""pintu yg di tutup"" itu al jazera juga tahu...?
Kalo lu masalahin gas air mata, lalu saya bilang dimana2 pertandingan klo ada rusuh ya pakai gas air mata, lalu salahnya di mana...?
Kenapa kamu kog susah banget kalo salahnya ""pintu di tutup"""
101,elisugar21,"@imcips05 @ernestprakasa Suporter yg awal turun emg salah saya akui. 
Tp kalo d liat2 yg turun ke lapangan ngga semua ngga sampe yg ribuan turun semua kan? Paling beberapa aja. Dan herannya knp tribun juga ikut d tembak buat apa kan yg keliatan rusuh cuma d lapangan. Yg bikin banyak mati itu gas air mata"
102,robbysunata,"Bayangkan, pas piala dunia FIFA di Indonesia, suporter asing sedang bakar flare dan nyanyi2 di tribun disangka rusuh trus ditembak gas air mata, menyebabkan kepanikan dan kematian,
Trus ada orang Indonesia yg bilang kalo polisi Indonesia tidak berada di bawah FIFA."
103,nhikamcr_7,"@HeiiRyu @tadiosus @sitaplana @CNNIndonesia Gua juga ga membenarkan Supporter masuk lapangan, cuman point nya sih itu tindakan yg diambil aparat buat nanganin massa yang banyak gini,pdhal bisa dihalangi pintu masuk loker room aja tanpa menembakkan gas air mata klo emng kewalahan. Kjdian rusuh kan bukan sekali dua kali"
104,Reynaisance,"@chesta123456789 @AndiRidzky @DewiXmi @satpamborma @PopokHati @AhkamunNajah @dede_dedot96 begitulah liciknya narasi para buzzer, berusaha mengaburkan fakta penyebab kematian supporter karena gas air mata.

justru mereka menuduh supporter rusuh lah penyebab utamanya.

saya kasih fakta contoh supporter rusuh tpi tidak ada kematian massal, malah dibilang aneh. nirempati."
105,rizkymiff,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
106,AgusPratono3,"Gelar Prof nya masih layak dipakai gak ya...?
Yang rusuh ditengah lapangan, yang ditembaki gas air mata di tribun yang banyak perempuan dan anak-anak... https://t.co/NJGSmgjNy6"
107,LifriAl,@KompasTV pada tahun 2018 kemaren di Kanjuruhan juga rusuh tak ada korban karena gak ada gas air mata. tangga juga itu
108,Ririn_AyuLR,Ya karena bawahannya rusuh kmaren di knjuruan si.. bawahannya pd bawa gas air mata kayanya https://t.co/avtX77VM0t
109,Vromadhoni27,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
110,bondeey,@VeritasArdentur Coba cek utas ini. Sering kok rusuh mas dan tanpa ada gas air mata https://t.co/unEqY662ji
111,Ibrahim78704863,"RT @_melody_mellow: Terbukti &amp; Fakta bhw 125 lebih suporter Aremania adalah korban tewas akibat Gas Air Mata yg ditembakkan polisi

Tetap a…"
112,win91275047,"RT @Reiza_Patters: Menurut Pakar Hukum Prof Romli Atmasasmita, Tragedi di Kanjuruhan Bukan Peristiwa Pidana https://t.co/BJR16OPSPZ

Emang…"
113,Ve78584392,"@Bola_Jakarta Polisi jg gk nembak gas air mata sembarangan kalau gk ada yg rusuh, sama2 koreksi dir"
114,Andre97549676,"RT @NyiMasRuminah: @liquiidcocaine @pandji Kejadian di Kanjuruhan dimulai oleh supporter yg tdk taat aturan, rusuh ke lapangan, dihalau gas…"
115,bonekmagang,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
116,tsalju_,"@IRohliana @anotherhilmy mmg ada superter yg salah.  tapi kok penonton di tribun juga ttp ditembaki gas air mata? pdhl mereka ga turun ke lapang, ga rusuh juga cuma duduk lg siap2 mau pulang, tp ttp kena serang"
117,reharnanda,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
118,MdHerry_,"RT @terkembang_4817: Dalam Situasi Rusuh, Suporter Terjebak di Pintu Masuk di Serang Gas Air Mata Tanpa Bisa Keluar Stadion... Masih Mau  B…"
119,WindaFitri33,@detikcom Mengapa yg rusuh D lapangan yg D tembakan gas air mata D tribunn.? #ygsayasimaksisepertiitu
